"id"	"perm_code"	"perm_name"	"perm_type"	"parent_id"	"path"	"component"	"icon"	"sort_order"	"status"	"is_external"	"is_deleted"	"create_time"	"update_time"	"create_user_id"	"update_user_id"
"1"	"system"	"系统管理"	"M"	"0"	"/system"		"Setting"	"1"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"2"	"case"	"案件管理"	"M"	"0"	"/case"		"FolderOpened"	"2"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"3"	"creditor"	"债权人管理"	"M"	"0"	"/creditor"		"User"	"3"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"4"	"fund"	"资金管理"	"M"	"0"	"/fund"		"Money"	"4"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"5"	"announcement"	"公告管理"	"M"	"0"	"/announcement"		"Bell"	"5"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"6"	"system:user"	"用户管理"	"M"	"1"	"/system/user"	"system/user/index"	"User"	"1"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"7"	"system:role"	"角色管理"	"M"	"1"	"/system/role"	"system/role/index"	"Team"	"2"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"8"	"system:permission"	"权限管理"	"M"	"1"	"/system/permission"	"system/permission/index"	"Key"	"3"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"9"	"system:config"	"系统配置"	"M"	"1"	"/system/config"	"system/config/index"	"Setting"	"4"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"10"	"case:list"	"案件列表"	"M"	"2"	"/case/list"	"case/list/index"	"List"	"1"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
"11"	"case:detail"	"案件详情"	"M"	"2"	"/case/detail"	"case/detail/index"	"Document"	"2"	"ACTIVE"	"0"	"0"	"8/1/2026 08:39:42"	"8/1/2026 08:39:42"		
